G,Point Latency,Time Received,Time Captured,MPH,Address,I0,Engine On,I1,I2,I3,I4,I5,GPS,Event Code,Sat,HDOP,RSSI,C,F,Seq,Index,Lat, Lon,Triggered By,? Odo hm,? Eng min
TX,15 secs,2020-03-10 10:41.09am,2020-03-10 10:41.24am,72,I-77 [I-77/I-81/Us-11/Us-52] Wytheville VA 24382,+,+,-,-,-,-,-,3,8,17,0.6,-67,0,0,3126,Serial,36.9456491,-81.0450799,Moving,35,2
TX,13 secs,2020-03-10 10:39.10am,2020-03-10 10:39.23am,63,I-77 Wytheville VA 24382,+,+,-,-,-,-,-,3,8,16,0.6,-42,0,0,3125,Serial,36.9673294,-81.0664531,Moving,36,2
TX,14 secs,2020-03-10 10:37.09am,2020-03-10 10:37.23am,69,I-77 Wytheville VA 24382,+,+,-,-,-,-,-,3,8,16,0.6,-80,0,0,3124,Serial,36.9965654,-81.0827918,Moving,38,2
TX,10 secs,2020-03-10 10:35.14am,2020-03-10 10:35.24am,67,I-77 Wytheville VA 24382,+,+,-,-,-,-,-,3,8,10,1,-43,0,0,3123,Serial,37.0221403,-81.106422,Moving,36,2
TX,"1 min, 21 secs",2020-03-10 10:35.14am,2020-03-10 10:33.53am,56,Big Walker Mountain Tunnel [I-77] Bland VA 24315,+,+,-,-,-,-,-,3,8,14,0.8,99,0,0,3122,Serial,37.0424205,-81.1364319,Moving,29,2
TX,15 secs,2020-03-10 10:31.09am,2020-03-10 10:31.24am,66,I-77 Bland VA 24315,+,+,-,-,-,-,-,3,8,16,0.6,-69,0,0,3121,Serial,37.0652233,-81.1277496,Moving,23,2
TX,15 secs,2020-03-10 10:29.39am,2020-03-10 10:29.54am,10, Bland VA 24315,+,+,-,-,-,-,-,3,5,16,0.6,-74,0,0,3120,Serial,37.0856724,-81.1267773,Started Moving,1,0
TX,5 secs,2020-03-10 10:29.19am,2020-03-10 10:29.24am,2, Bland VA 24315,+,+,-,-,-,-,-,3,0,14,0.6,-76,0,0,3119,Serial,37.0861432,-81.1268296,,0,1
TX,33 secs,2020-03-10 10:29.11am,2020-03-10 10:28.38am,0, Bland VA 24315,+,+,-,-,-,-,-,3,2,15,0.6,-76,0,0,3118,Serial,37.0866126,-81.1268806,Stopped Moving,12,1
TX,15 secs,2020-03-10 10:27.09am,2020-03-10 10:27.24am,60,I-77 Bland VA 24315,+,+,-,-,-,-,-,3,8,16,0.6,-71,0,0,3117,Serial,37.0968519,-81.1285462,Moving,37,2
TX,15 secs,2020-03-10 10:25.09am,2020-03-10 10:25.24am,67,I-77 Bland VA 24315,+,+,-,-,-,-,-,3,8,15,0.6,-64,0,0,3116,Serial,37.1290733,-81.120399,Moving,35,2
TX,14 secs,2020-03-10 10:23.09am,2020-03-10 10:23.23am,64,I-77 Bastian VA 24314,+,+,-,-,-,-,-,3,8,15,0.6,-64,0,0,3115,Serial,37.1507495,-81.1406872,Moving,36,2
TX,15 secs,2020-03-10 10:21.09am,2020-03-10 10:21.24am,67,I-77 Bastian VA 24314,+,+,-,-,-,-,-,3,8,15,0.6,-74,0,0,3114,Serial,37.1818833,-81.1348025,Moving,37,2
TX,17 secs,2020-03-10 10:19.07am,2020-03-10 10:19.24am,66,I-77 Bastian VA 24314,+,+,-,-,-,-,-,3,8,15,0.6,-72,0,0,3113,Serial,37.2037634,-81.1065575,Moving,36,2
