G,"Point Latency","Time Received","Time Captured",MPH,Address,I0,"Engine On",I1,I2,I3,I4,I5,GPS,"Event Code",Sat,HDOP,RSSI,C,F,Seq,Index,"Lat, Lon","Triggered By","Δ Odo hm","Δ Eng min"
"LA","10 secs","2020-03-12 10:50.21am","2020-03-12 10:50.11am",0,"351 Silver St Elko NV 89801","-","-","-","-","-","-","-",3,0,12,"0.8","-54",0,0,476,"Serial","40.8299399,-115.7622986","",0,0
"LA","10 secs","2020-03-12 10:48.21am","2020-03-12 10:48.11am",0,"351 Silver St Elko NV 89801","-","-","-","-","-","-","-",3,0,15,"0.6","-58",0,0,475,"Serial","40.8299386,-115.7622986","",0,0
"LA","10 secs","2020-03-12 10:46.21am","2020-03-12 10:46.11am",0,"351 Silver St Elko NV 89801","-","-","-","-","-","-","-",3,38,16,"0.6","-56",0,0,474,"Serial","40.8299386,-115.7622959","Ignition Off",1,2
"LA","19 secs","2020-03-12 10:44.30am","2020-03-12 10:44.11am",3,"Silver St Elko NV 89801","+","+","-","-","-","-","-",3,0,16,"0.6","-34",0,0,473,"Serial","40.8297642,-115.7628645","",0,0
"LA","23 secs","2020-03-12 10:44.30am","2020-03-12 10:44.07am",5,"Silver St Elko NV 89801","+","+","-","-","-","-","-",3,2,15,"0.6","-33",0,0,472,"Serial","40.8297427,-115.7628565","Stopped Moving",3,0
"LA","5 secs","2020-03-12 10:43.36am","2020-03-12 10:43.31am",9,"204 5th St [Nv-227] Elko NV 89801","+","+","-","-","-","-","-",3,5,15,"0.6","-55",0,0,471,"Serial","40.8313172,-115.7611734","Started Moving",0,1
"LA","7 secs","2020-03-12 10:43.16am","2020-03-12 10:43.09am",0,"172 5th St [Nv-227] Elko NV 89801","+","+","-","-","-","-","-",3,2,15,"0.6","-57",0,0,470,"Serial","40.8311683,-115.7608891","Stopped Moving",5,1
"LA","12 secs","2020-03-12 10:42.21am","2020-03-12 10:42.09am",33,"485 S 5th St [Nv-227] Elko NV 89801","+","+","-","-","-","-","-",3,8,15,"0.6","-49",0,0,469,"Serial","40.8280409,-115.7562703","Moving",16,4
"LA","10 secs","2020-03-12 10:40.21am","2020-03-12 10:40.11am",30,"1575 Lamoille Hwy [Nv-227] Elko NV 89801","+","+","-","-","-","-","-",3,8,14,"0.6","-56",0,0,468,"Serial","40.8331974,-115.7413841","Moving",21,1
"LA","9 secs","2020-03-12 10:38.36am","2020-03-12 10:38.27am",7,"Powder House Rd Elko NV 89801","+","+","-","-","-","-","-",3,5,14,"0.8","-56",0,0,467,"Serial","40.8240001,-115.7271027","Started Moving",0,1
"LA","7 secs","2020-03-12 10:38.16am","2020-03-12 10:38.09am",0,"2001 Errecart Blvd Elko NV 89801","+","+","-","-","-","-","-",3,0,13,"0.8","-57",0,0,466,"Serial","40.8238419,-115.7273373","",0,0
"LA","9 secs","2020-03-12 10:38.06am","2020-03-12 10:37.57am",1,"2001 Errecart Blvd Elko NV 89801","+","+","-","-","-","-","-",3,2,13,"0.6","-59",0,0,465,"Serial","40.823854,-115.72734","Stopped Moving",7,2
"LA","12 secs","2020-03-12 10:36.41am","2020-03-12 10:36.29am",15," Elko NV 89801","+","+","-","-","-","-","-",3,3,16,"0.6","-56",0,0,464,"Serial","40.8228589,-115.7321331","Roll",0,0
"LA","16 secs","2020-03-12 10:36.41am","2020-03-12 10:36.25am",15," Elko NV 89801","+","+","-","-","-","-","-",3,8,16,"0.6","-61",0,0,463,"Serial","40.8231418,-115.7319373","Moving",1,0
"LA","19 secs","2020-03-12 10:36.36am","2020-03-12 10:36.17am",10," Elko NV 89801","+","+","-","-","-","-","-",3,8,16,"0.6","-66",0,0,462,"Serial","40.8236072,-115.7317496","Moving",0,0
"LA","20 secs","2020-03-12 10:36.36am","2020-03-12 10:36.16am",9," Elko NV 89801","+","+","-","-","-","-","-",3,5,15,"0.6","-66",0,0,461,"Serial","40.8236595,-115.7317402","Started Moving",1,0
"LA","16 secs","2020-03-12 10:36.26am","2020-03-12 10:36.10am",9," Elko NV 89801","+","+","-","-","-","-","-",3,37,15,"0.6","-66",0,0,460,"Serial","40.8238405,-115.7315001","Ignition On",0,0
