G,Point Latency,Time Received,Time Captured,MPH,Address,I0,Engine On,I1,I2,I3,I4,I5,GPS,Event Code,Sat,HDOP,RSSI,C,F,Seq,Index,"Lat, Lon",Triggered By,Δ Odo hm,Δ Eng min
LA,5 secs,2020-02-14 1:10.19pm,2020-02-14 1:10.14pm,7,304 Cash Memorial Blvd Forest Park GA 30297,+,+,-,-,-,-,-,3,5,16,0.6,-80,0,0,2047,Serial,"33.6089138,-84.3798008",Started Moving,1,0
LA,5 secs,2020-02-14 1:10.09pm,2020-02-14 1:10.04pm,1,300 Cash Memorial Blvd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,17,0.6,-80,0,0,2046,Serial,"33.6088695,-84.3800664",,0,1
LA,9 secs,2020-02-14 1:09.36pm,2020-02-14 1:09.27pm,2,300 Cash Memorial Blvd Forest Park GA 30297,+,+,-,-,-,-,-,3,2,18,0.6,-78,0,0,2045,Serial,"33.608895,-84.3800784",Stopped Moving,3,1
LA,8 secs,2020-02-14 1:08.36pm,2020-02-14 1:08.28pm,9,295 Agnew Dr Forest Park GA 30297,+,+,-,-,-,-,-,3,5,16,0.6,-69,0,0,2044,Serial,"33.610338,-84.3796332",Started Moving,0,0
LA,5 secs,2020-02-14 1:08.09pm,2020-02-14 1:08.04pm,0,309 Agnew Dr Forest Park GA 30297,+,+,-,-,-,-,-,3,0,12,0.8,-75,0,0,2043,Serial,"33.6104105,-84.3792684",,1,2
LA,6 secs,2020-02-14 1:06.10pm,2020-02-14 1:06.04pm,0,Jones Rd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,13,0.8,-79,0,0,2042,Serial,"33.6103193,-84.3789264",,0,2
LA,6 secs,2020-02-14 1:04.10pm,2020-02-14 1:04.04pm,0,Jones Rd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,16,0.6,-79,0,0,2041,Serial,"33.6102562,-84.3789331",,0,2
LA,8 secs,2020-02-14 1:02.12pm,2020-02-14 1:02.04pm,0,Jones Rd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,16,0.6,-74,0,0,2040,Serial,"33.6102549,-84.3789345",,0,2
LA,"1 min, 9 secs",2020-02-14 1:01.13pm,2020-02-14 1:00.04pm,0,Jones Rd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,15,0.6,-73,0,0,2039,Serial,"33.6102683,-84.3789452",,0,2
LA,7 secs,2020-02-14 12:58.12pm,2020-02-14 12:58.05pm,0,Jones Rd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,16,0.6,-80,0,0,2038,Serial,"33.6102616,-84.3789479",,0,2
LA,7 secs,2020-02-14 12:56.12pm,2020-02-14 12:56.05pm,0,Jones Rd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,16,0.6,-80,0,0,2037,Serial,"33.6102723,-84.3789278",,0,2
LA,7 secs,2020-02-14 12:54.12pm,2020-02-14 12:54.05pm,0,Jones Rd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,17,0.6,-79,0,0,2036,Serial,"33.6102723,-84.3789264",,0,2
LA,6 secs,2020-02-14 12:52.11pm,2020-02-14 12:52.05pm,0,Jones Rd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,17,0.6,-78,0,0,2035,Serial,"33.6102911,-84.3789626",,1,2
LA,24 secs,2020-02-14 12:50.29pm,2020-02-14 12:50.05pm,0,Jones Rd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,18,0.6,-74,0,0,2034,Serial,"33.6102777,-84.3789345",,0,2
LA,6 secs,2020-02-14 12:48.11pm,2020-02-14 12:48.05pm,0,Jones Rd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,16,0.6,-74,0,0,2033,Serial,"33.6102804,-84.3789479",,0,2
LA,8 secs,2020-02-14 12:46.13pm,2020-02-14 12:46.05pm,0,Jones Rd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,17,0.6,-77,0,0,2032,Serial,"33.610279,-84.3789492",,0,2
LA,7 secs,2020-02-14 12:44.12pm,2020-02-14 12:44.05pm,0,Jones Rd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,15,0.6,-75,0,0,2031,Serial,"33.610279,-84.3789519",,0,2
LA,7 secs,2020-02-14 12:42.12pm,2020-02-14 12:42.05pm,0,Jones Rd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,17,0.6,-76,0,0,2030,Serial,"33.6102763,-84.3789304",,0,2
LA,5 secs,2020-02-14 12:40.10pm,2020-02-14 12:40.05pm,0,Jones Rd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,14,0.6,-81,0,0,2029,Serial,"33.6102763,-84.3789291",,0,2
LA,53 secs,2020-02-14 12:38.58pm,2020-02-14 12:38.05pm,0,Jones Rd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,17,0.6,-75,0,0,2028,Serial,"33.6102871,-84.3789506",,0,2
LA,7 secs,2020-02-14 12:36.12pm,2020-02-14 12:36.05pm,0,Jones Rd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,16,0.6,-77,0,0,2027,Serial,"33.6102817,-84.3789559",,0,2
